2017-07-01 02:00:17	pressure	BMP180	box	98717.00
2017-07-01 02:00:17	temp	piBoard	piBoard	54.6
2017-07-01 02:10:11	temp	28-000006041ddd	box	24.5
2017-07-01 02:10:11	temp	28-000006767bdb	rot	23.6
2017-07-01 02:10:12	temp	28-0000067887d5	gelb	20.2
2017-07-01 02:10:13	temp	28-0000068a414a	blau	13.9
2017-07-01 02:10:15	humidity	AM2302-140903756	box	50.70
2017-07-01 02:10:16	pressure	BMP180	box	98708.00
2017-07-01 02:10:16	temp	piBoard	piBoard	55.1
2017-07-01 02:20:10	temp	28-000006041ddd	box	24.5
2017-07-01 02:20:11	temp	28-000006767bdb	rot	23.6
2017-07-01 02:20:12	temp	28-0000067887d5	gelb	20.2
2017-07-01 02:20:13	temp	28-0000068a414a	blau	13.8
2017-07-01 02:20:15	humidity	AM2302-140903756	box	50.90
2017-07-01 02:20:16	pressure	BMP180	box	98710.00
2017-07-01 02:20:16	temp	piBoard	piBoard	54.1
2017-07-01 02:30:11	temp	28-000006041ddd	box	24.5
2017-07-01 02:30:12	temp	28-000006767bdb	rot	23.6
2017-07-01 02:30:13	temp	28-0000067887d5	gelb	20.2
2017-07-01 02:30:13	temp	28-0000068a414a	blau	13.5
2017-07-01 02:30:15	humidity	AM2302-140903756	box	51.00
2017-07-01 02:30:16	pressure	BMP180	box	98708.00
2017-07-01 02:30:16	temp	piBoard	piBoard	54.6
2017-07-01 02:40:11	temp	28-000006041ddd	box	24.5
2017-07-01 02:40:12	temp	28-000006767bdb	rot	23.6
2017-07-01 02:40:14	temp	28-0000067887d5	gelb	20.1
2017-07-01 02:40:15	temp	28-0000068a414a	blau	13.7
2017-07-01 02:40:16	humidity	AM2302-140903756	box	51.20
2017-07-01 02:40:17	pressure	BMP180	box	98700.00
2017-07-01 02:40:17	temp	piBoard	piBoard	54.6
2017-07-01 02:50:11	temp	28-000006041ddd	box	24.5
2017-07-01 02:50:12	temp	28-000006767bdb	rot	23.6
2017-07-01 02:50:13	temp	28-0000067887d5	gelb	20.2
2017-07-01 02:50:14	temp	28-0000068a414a	blau	13.8
2017-07-01 02:50:15	humidity	AM2302-140903756	box	51.40
2017-07-01 02:50:16	pressure	BMP180	box	98704.00
2017-07-01 02:50:16	temp	piBoard	piBoard	54.6
